date,site,recorder,transect number,distance along transect,distance from transect (m),live,,,,,,dead,,,,Live count over 100,,,,,dead count over 100,,
5/18/2015,LC05,Nick Fisch,2,0,2.7,30,30,28,24,40,49,,,,,,,,,,,,
5/18/2015,LC05,Nick Fisch,2,0,2.7,20,15,,,,,,,,,,,,,,,,
5/18/2015,LC05,Nick Fisch,2,13,1.2,41,38,25,21,43,45,,,,,,,,,,,,
5/18/2015,LC05,Nick Fisch,2,13,1.2,23,21,33,25,35,51,,,,,,,,,,,,
5/18/2015,LC05,Nick Fisch,2,13,1.2,38,43,29,32,42,31,,19,,,,,,,,,,
5/18/2015,LC05,Nick Fisch,2,13,1.2,18,37,29,29,37,29,,,,,,,,,,,,
5/18/2015,LC05,Nick Fisch,2,13,1.2,30,28,30,31,31,30,,,,,,,,,,,,
5/18/2015,LC05,Nick Fisch,2,13,1.2,28,21,22,22,36,,,,,,,,,,,18,,
5/18/2015,LC05,Nick Fisch,3,19,1.4,25,20,22,21,35,21,,,,,,,,,,,,
5/18/2015,LC05,Nick Fisch,3,19,1.4,32,40,71,32,28,38,,,,,,,,,,,,
5/18/2015,LC05,Nick Fisch,3,19,1.4,51,33,15,36,39,30,,,,,,,,,,,,
5/18/2015,LC05,Nick Fisch,3,19,1.4,34,20,35,18,21,17,,,,,,,,,,,,
5/18/2015,LC05,Nick Fisch,3,19,1.4,50,41,18,20,,,,,,,,,,,,,,
5/18/2015,LC05,Nick Fisch,3,19,3.6,23,26,27,,,,,,,,,,,,,,,
5/18/2015,LC05,Nick Fisch,3,21,2.7,30,35,30,31,22,30,,,,,,,,,,,,
5/18/2015,LC05,Nick Fisch,3,21,2.7,32,55,40,26,33,27,,,,,,,,,,,,
5/18/2015,LC05,Nick Fisch,3,7,0.9,49,48,48,54,40,49,,43,,,,,,,,,,
5/18/2015,LC05,Nick Fisch,3,7,0.9,28,,,,,,,,,,,,,,,,,
5/18/2015,LC05,Nick Fisch,3,8,2.8,30,19,21,28,24,19,,,,,,,,,,4,,
5/18/2015,LC05,Nick Fisch,3,8,2.8,18,20,32,,,,,,,,,,,,,,,
5/31/2015,LC07,Nick Fisch,1,0,3.9,na,,,,,,,,,,,,,,,,,
5/31/2015,LC07,Nick Fisch,1,18,4,na,,,,,,,,,,,,,,,,,
5/31/2015,LC07,Nick Fisch,1,6,0.3,28,30,,,,,,,,,,,,,,,,
5/31/2015,LC07,Nick Fisch,1,3,2.3,21,32,,,,,,28,,,,14,,,,,,
5/31/2015,LC07,Nick Fisch,1,17,3.6,28,21,,,,,,,,,,,,,,,,
5/31/2015,LC07,Nick Fisch,1,15,1.5,37,,,,,,,21,,,,,,,,,,
5/31/2015,LC07,Nick Fisch,1,11,1.9,32,33,33,35,25,35,,,,,,,,,,,,
5/31/2015,LC07,Nick Fisch,1,3,2.6,na,,,,,,,,,,,,,,,,,
5/31/2015,LC07,Nick Fisch,1,11,1.9,22,24,39,17,,,,,,,,,,,,,,
5/31/2015,LC07,Nick Fisch,1,6,1.1,na,,,,,,,,,,,,,,,,,
5/31/2015,LC07,Nick Fisch,1,0,2.7,25,30,,,,,,,,,,,,,,,,
5/31/2015,LC07,Nick Fisch,1,1,2.6,19,,,,,,,,,,,,,,,,,
5/31/2015,LC07,Nick Fisch,1,13,1.2,26,30,22,,,,,,,,,,,,,,,
5/31/2015,LC07,Nick Fisch,1,19,1.4,na,,,,,,,,,,,,,,,,,
5/31/2015,LC07,Nick Fisch,1,19,3.6,na,,,,,,,,,,,,,,,,,
5/31/2015,LC07,Nick Fisch,1,21,2.7,29,,,,,,,,,,,,,,,,,
5/31/2015,LC07,Nick Fisch,1,7,0.9,28,22,,,,,,,,,,,,,,,,
5/31/2015,LC07,Nick Fisch,1,8,2.8,na,,,,,,,,,,,,,,,,,
5/31/2015,LC07,Nick Fisch,1,8,2.1,30,,,,,,,,,,,,,,,,,
5/31/2015,LC07,Nick Fisch,1,17,2.9,21,26,,,,,,140,,,,,,,,,,
5/31/2015,LC07,Nick Fisch,1,18,3.3,na,,,,,,,,,,,,,,,,,
5/31/2015,LC07,Nick Fisch,2,5,2.6,28,34,24,41,27,26,,,,,,,,,,,,
5/31/2015,LC07,Nick Fisch,2,15,1.9,na,,,,,,,,,,,,,,,,,
5/31/2015,LC07,Nick Fisch,2,14,2.2,16,,,,,,,,,,,,,,,,,
5/31/2015,LC07,Nick Fisch,2,5,2.6,22,21,,,,,,,,,,,,,,,,
5/31/2015,LC07,Nick Fisch,2,15,4,25,,,,,,,,,,,,,,,,,
5/31/2015,LC07,Nick Fisch,2,5,2.2,24,41,27,19,24,28,,,,,,,,,,,,
